field,count,count_null,max,mean,min,stddev_samp,state,year
AGEDAY,84023,432041,364.00,14.31,0.00,52.75,AZ,1997
SEX,516033,31,2.00,1.59,1.00,0.49,AZ,1997
RACE,512279,3785,6.00,1.78,1.00,1.41,AZ,1997
DQTR,516064,0,4.00,2.49,1.00,1.14,AZ,1997
LOS,513874,2190,266.00,3.94,0.00,5.62,AZ,1997
DISP,516064,0,20.00,1.87,1.00,2.88,AZ,1997
DIED,516064,0,1.00,0.02,0.00,0.14,AZ,1997
ATYPE,516064,0,4.00,2.13,1.00,1.08,AZ,1997
ASOURCE,516064,0,5.00,3.52,1.00,1.89,AZ,1997
NDX,516064,0,11.00,4.23,0.00,2.58,AZ,1997
DXV1,513009,3055,1.00,0.00,0.00,0.03,AZ,1997
DCCHPR1,512438,3626,259.00,155.33,1.00,62.49,AZ,1997
NPR,516064,0,6.00,1.26,0.00,1.52,AZ,1997
PRV1,294333,221731,1.00,0.00,0.00,0.01,AZ,1997
PCCHPR1,294313,221751,231.00,114.72,1.00,56.14,AZ,1997
DRG,516064,0,503.00,266.23,1.00,138.80,AZ,1997
MDC,516064,0,25.00,9.73,0.00,5.44,AZ,1997
DRGVER,516064,0,15.00,14.26,14.00,0.44,AZ,1997
DRG10,516064,0,492.00,262.54,1.00,136.35,AZ,1997
MDC10,516064,0,25.00,9.72,0.00,5.44,AZ,1997
PAY1,516064,0,6.00,2.41,1.00,1.23,AZ,1997
TOTCHG,511615,4449,934198.00,12094.13,1.00,20753.18,AZ,1997
DSNUM,516064,0,9.00,9.00,9.00,0.00,AZ,1997
DSTYPE,516064,0,1.00,1.00,1.00,0.00,AZ,1997
ADAYWK,516064,0,7.00,3.98,1.00,1.84,AZ,1997
AMONTH,516064,0,12.00,6.49,1.00,3.52,AZ,1997
LOS_X,516064,0,266.00,3.93,0.00,5.62,AZ,1997
NEOMAT,516064,0,3.00,0.45,0.00,0.73,AZ,1997
DXSYS,516064,0,1.00,1.00,1.00,0.00,AZ,1997
DSNDX,516064,0,11.00,11.00,11.00,0.00,AZ,1997
PRSYS,516064,0,1.00,1.00,1.00,0.00,AZ,1997
DSNPR,516064,0,6.00,6.00,6.00,0.00,AZ,1997
PRDAY1,294272,221792,150.00,1.03,-4.00,2.77,AZ,1997
PAY1_N,516064,0,12.00,3.25,1.00,2.44,AZ,1997
TOTCHG_X,513806,2258,934198.00,12171.12,-279.00,20776.81,AZ,1997
DXV2,445305,70759,1.00,0.00,0.00,0.02,AZ,1997
DXV3,347848,168216,1.00,0.00,0.00,0.04,AZ,1997
DXV4,269795,246269,1.00,0.00,0.00,0.02,AZ,1997
DXV5,204963,311101,1.00,0.00,0.00,0.03,AZ,1997
DXV6,151633,364431,1.00,0.00,0.00,0.02,AZ,1997
DXV7,110388,405676,1.00,0.00,0.00,0.01,AZ,1997
DXV8,79505,436559,1.00,0.00,0.00,0.01,AZ,1997
DXV9,55491,460573,1.00,0.00,0.00,0.02,AZ,1997
DXV10,4984,511080,1.00,0.00,0.00,0.01,AZ,1997
DXV11,1024,515040,0.00,0.00,0.00,0.00,AZ,1997
DCCHPR2,445094,70970,260.00,133.04,1.00,68.56,AZ,1997
DCCHPR3,347438,168626,260.00,130.04,1.00,68.09,AZ,1997
DCCHPR4,269651,246413,260.00,126.83,1.00,68.27,AZ,1997
DCCHPR5,204814,311250,260.00,124.63,1.00,68.87,AZ,1997
DCCHPR6,151571,364493,260.00,123.50,1.00,69.66,AZ,1997
DCCHPR7,110375,405689,260.00,123.57,1.00,70.47,AZ,1997
DCCHPR8,79499,436565,260.00,123.54,1.00,71.50,AZ,1997
DCCHPR9,55479,460585,260.00,125.35,1.00,73.50,AZ,1997
DCCHPR10,4983,511081,260.00,260.00,260.00,0.00,AZ,1997
DCCHPR11,1024,515040,260.00,260.00,260.00,0.00,AZ,1997
PRV2,170369,345695,1.00,0.00,0.00,0.04,AZ,1997
PRV3,92546,423518,1.00,0.00,0.00,0.02,AZ,1997
PRV4,47658,468406,1.00,0.00,0.00,0.02,AZ,1997
PRV5,26550,489514,1.00,0.00,0.00,0.02,AZ,1997
PRV6,14437,501627,1.00,0.01,0.00,0.08,AZ,1997
PCCHPR2,170039,346025,231.00,115.58,1.00,60.95,AZ,1997
PCCHPR3,92507,423557,231.00,108.32,1.00,63.70,AZ,1997
PCCHPR4,47646,468418,231.00,108.37,1.00,68.03,AZ,1997
PCCHPR5,26536,489528,231.00,108.57,1.00,71.01,AZ,1997
PCCHPR6,14334,501730,231.00,114.04,1.00,73.80,AZ,1997
HOSPID,513333,2731,4109.00,4058.15,4001.00,32.20,AZ,1997
