field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,369451,2,118.00,46.33,0.00,28.26,OR,2004
AGEDAY,50179,319274,364.00,10.17,0.00,45.43,OR,2004
AGEMONTH,58388,311065,131.00,8.67,0.00,24.89,OR,2004
AMONTH,369453,0,12.00,6.47,1.00,3.45,OR,2004
ASOURCE,357440,12013,5.00,3.27,1.00,1.94,OR,2004
ATYPE,369185,268,5.00,2.19,1.00,1.04,OR,2004
AWEEKEND,369453,0,1.00,0.19,0.00,0.39,OR,2004
DIED,369453,0,1.00,0.02,0.00,0.14,OR,2004
DISPUB92,369453,0,65.00,2.63,1.00,6.78,OR,2004
DISPUNIFORM,369453,0,99.00,2.12,1.00,3.03,OR,2004
DQTR,369453,0,4.00,2.49,1.00,1.12,OR,2004
DRG,369453,0,543.00,289.05,1.00,143.55,OR,2004
DRG18,369453,0,511.00,273.95,1.00,139.70,OR,2004
DRGVER,369453,0,22.00,21.25,21.00,0.43,OR,2004
DXCCS1,369453,0,259.00,153.62,1.00,63.78,OR,2004
DXCCS2,327452,42001,259.00,129.28,1.00,65.54,OR,2004
DXCCS3,282705,86748,259.00,123.50,1.00,65.17,OR,2004
DXCCS4,241116,128337,259.00,120.06,1.00,65.20,OR,2004
DXCCS5,201118,168335,259.00,118.33,1.00,65.65,OR,2004
DXCCS6,158209,211244,259.00,117.45,1.00,66.10,OR,2004
DXCCS7,128294,241159,259.00,117.26,1.00,66.79,OR,2004
DXCCS8,101541,267912,259.00,117.76,1.00,67.33,OR,2004
DXCCS9,77241,292212,259.00,117.71,1.00,67.81,OR,2004
E_CCS1,44530,324923,2621.00,2611.82,2601.00,6.23,OR,2004
E_CCS2,15809,353644,2621.00,2614.50,2601.00,6.12,OR,2004
E_CCS3,6171,363282,2621.00,2611.04,2601.00,7.26,OR,2004
E_CCS4,4665,364788,2621.00,2618.91,2601.00,4.17,OR,2004
E_CCS5,341,369112,2621.00,2616.92,2601.00,4.21,OR,2004
E_CCS6,25,369428,2621.00,2616.92,2607.00,3.97,OR,2004
FEMALE,369433,20,1.00,0.59,0.00,0.49,OR,2004
LOS,369453,0,328.00,3.89,0.00,5.43,OR,2004
LOS_X,369453,0,328.00,3.89,0.00,5.43,OR,2004
MDC,369453,0,25.00,9.96,1.00,5.39,OR,2004
MDC18,369453,0,25.00,9.97,1.00,5.39,OR,2004
NDX,369453,0,9.00,5.11,1.00,2.79,OR,2004
NECODE,369453,0,6.00,0.19,0.00,0.63,OR,2004
NEOMAT,369453,0,2.00,0.39,0.00,0.70,OR,2004
NPR,369453,0,6.00,1.44,0.00,1.64,OR,2004
PAY1,369453,0,6.00,2.38,1.00,1.23,OR,2004
PAY2,216715,152738,6.00,3.17,1.00,1.30,OR,2004
PL_CBSA,368608,845,2.00,1.68,0.00,0.57,OR,2004
PL_MSA1993,368609,844,1.00,0.70,0.00,0.46,OR,2004
PL_RUCA,364942,4511,10.50,2.90,1.00,2.62,OR,2004
PL_RUCA10,364942,4511,10.00,2.87,1.00,2.55,OR,2004
PL_RUCA4,364942,4511,4.00,1.50,1.00,0.81,OR,2004
PL_RUCC2003,368609,844,9.00,2.45,1.00,1.77,OR,2004
PL_UIC2003,368609,844,12.00,2.64,1.00,2.37,OR,2004
PL_UR_CAT4,368609,844,4.00,1.87,1.00,0.93,OR,2004
PL_UR_CAT5,368609,844,5.00,1.88,1.00,0.97,OR,2004
PRCCS1,231812,137641,231.00,120.19,1.00,61.30,OR,2004
PRCCS2,134240,235213,231.00,118.61,1.00,65.92,OR,2004
PRCCS3,78440,291013,231.00,119.22,1.00,69.71,OR,2004
PRCCS4,45324,324129,231.00,124.84,1.00,73.57,OR,2004
PRCCS5,28558,340895,231.00,126.15,1.00,76.47,OR,2004
PRCCS6,14273,355180,231.00,138.53,1.00,76.99,OR,2004
PRDAY1,231818,137635,160.00,0.83,-4.00,2.37,OR,2004
PRDAY2,134240,235213,146.00,1.00,-4.00,2.98,OR,2004
PRDAY3,78440,291013,120.00,1.25,-4.00,3.33,OR,2004
PRDAY4,45324,324129,160.00,1.67,-4.00,4.27,OR,2004
PRDAY5,28558,340895,155.00,2.12,-3.00,5.00,OR,2004
PRDAY6,14273,355180,160.00,2.90,-3.00,6.38,OR,2004
TOTCHG,354871,14582,987803.00,15573.14,39.00,26909.85,OR,2004
