field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,559803,434,105.00,44.14,0.00,28.89,AZ,1999
AGEDAY,87948,472289,364.00,13.76,0.00,51.69,AZ,1999
AGEMONTH,102815,457422,131.00,8.78,0.00,24.76,AZ,1999
AMONTH,560167,70,12.00,6.44,1.00,3.50,AZ,1999
ASOURCE,560081,156,5.00,3.38,1.00,1.92,AZ,1999
ATYPE,560235,2,4.00,2.09,1.00,1.07,AZ,1999
AWEEKEND,560167,70,1.00,0.20,0.00,0.40,AZ,1999
BWT,42275,517962,9005.00,3277.81,228.00,785.03,AZ,1999
DIED,560237,0,1.00,0.02,0.00,0.13,AZ,1999
DISPUB92,560237,0,20.00,1.86,1.00,2.73,AZ,1999
DISPUNIFORM,560237,0,20.00,1.99,1.00,2.82,AZ,1999
DQTR,560237,0,4.00,2.48,1.00,1.13,AZ,1999
DRG,560237,0,511.00,268.32,1.00,140.53,AZ,1999
DRG10,560237,0,492.00,261.40,1.00,136.07,AZ,1999
DRG18,560237,0,511.00,268.29,1.00,140.53,AZ,1999
DRGVER,560237,0,17.00,16.25,16.00,0.43,AZ,1999
DXCCS1,559164,1073,259.00,154.97,1.00,62.37,AZ,1999
DXCCS2,483200,77037,2621.00,180.37,1.00,347.81,AZ,1999
DXCCS3,387931,172306,2621.00,205.86,1.00,442.69,AZ,1999
DXCCS4,306189,254048,2621.00,219.41,1.00,488.28,AZ,1999
DXCCS5,237602,322635,2621.00,228.81,1.00,516.20,AZ,1999
DXCCS6,180798,379439,2621.00,242.92,1.00,549.84,AZ,1999
DXCCS7,134646,425591,2621.00,260.14,1.00,585.51,AZ,1999
DXCCS8,99487,460750,2621.00,286.18,1.00,632.35,AZ,1999
DXCCS9,72489,487748,2621.00,313.70,1.00,678.31,AZ,1999
DXCCS10,9612,550625,2621.00,2611.60,2601.00,6.78,AZ,1999
DXCCS11,3712,556525,2621.00,2619.37,2601.00,3.62,AZ,1999
FEMALE,559760,477,1.00,0.59,0.00,0.49,AZ,1999
LOS,560226,11,360.00,3.94,0.00,5.93,AZ,1999
LOS_X,560237,0,1064.00,3.95,0.00,6.64,AZ,1999
MDC,560237,0,25.00,9.76,0.00,5.45,AZ,1999
MDC10,560237,0,25.00,9.76,0.00,5.45,AZ,1999
MDC18,560237,0,25.00,9.76,0.00,5.45,AZ,1999
NDX,560237,0,11.00,4.42,0.00,2.68,AZ,1999
NEOMAT,560237,0,3.00,0.44,0.00,0.73,AZ,1999
NPR,560237,0,6.00,1.20,0.00,1.53,AZ,1999
PAY1,560007,230,6.00,2.51,1.00,1.31,AZ,1999
PRCCS1,302959,257278,231.00,112.78,1.00,55.90,AZ,1999
PRCCS2,168163,392074,231.00,112.35,1.00,61.28,AZ,1999
PRCCS3,90205,470032,231.00,104.31,1.00,64.48,AZ,1999
PRCCS4,47404,512833,231.00,103.08,1.00,67.83,AZ,1999
PRCCS5,28626,531611,231.00,102.20,1.00,70.65,AZ,1999
PRCCS6,16239,543998,231.00,113.98,1.00,75.32,AZ,1999
PRDAY1,303945,256292,276.00,1.04,-4.00,3.02,AZ,1999
RACE,560236,1,6.00,1.75,1.00,1.26,AZ,1999
AYEAR,560167,70,1999.00,1998.99,1996.00,0.10,AZ,1999
DMONTH,560237,0,12.00,6.45,1.00,3.50,AZ,1999
BMONTH,560167,70,12.00,6.55,1.00,3.44,AZ,1999
BYEAR,560167,70,1999.00,1954.43,1893.00,29.02,AZ,1999
PRMONTH1,303945,256292,12.00,6.48,1.00,3.45,AZ,1999
PRYEAR1,303945,256292,1999.00,1998.99,1998.00,0.09,AZ,1999
