field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,663405,111,123.00,43.93,0.00,28.51,AZ,2003
AGEDAY,100508,563008,364.00,13.32,0.00,50.88,AZ,2003
AGEMONTH,118810,544706,131.00,9.28,0.00,25.26,AZ,2003
AHOUR,663419,97,2300.00,1260.87,0.00,645.83,AZ,2003
AMONTH,663516,0,12.00,6.59,1.00,3.48,AZ,2003
ASOURCE,651137,12379,5.00,3.11,1.00,1.96,AZ,2003
ATYPE,663089,427,4.00,1.99,1.00,1.11,AZ,2003
AWEEKEND,663516,0,1.00,0.20,0.00,0.40,AZ,2003
BWT,66800,596716,8864.00,3248.34,228.00,709.71,AZ,2003
DHOUR,663098,418,2300.00,1427.27,0.00,331.26,AZ,2003
DIED,661903,1613,1.00,0.01,0.00,0.12,AZ,2003
DISPUB92,661903,1613,72.00,2.40,1.00,6.47,AZ,2003
DISPUNIFORM,661903,1613,20.00,1.94,1.00,2.71,AZ,2003
DNR,157884,505632,1.00,0.06,0.00,0.25,AZ,2003
DQTR,663516,0,4.00,2.53,1.00,1.12,AZ,2003
DRG,663516,0,540.00,282.67,1.00,143.58,AZ,2003
DRG18,663516,0,511.00,268.55,1.00,139.74,AZ,2003
DRGVER,663516,0,21.00,20.26,20.00,0.44,AZ,2003
DXCCS1,661903,1613,259.00,155.41,1.00,62.28,AZ,2003
DXCCS2,603196,60320,259.00,130.25,1.00,67.17,AZ,2003
DXCCS3,502761,160755,259.00,124.90,1.00,66.40,AZ,2003
DXCCS4,418533,244983,259.00,120.97,1.00,66.00,AZ,2003
DXCCS5,343238,320278,259.00,118.67,1.00,65.83,AZ,2003
DXCCS6,278196,385320,259.00,117.76,1.00,66.07,AZ,2003
DXCCS7,222029,441487,259.00,117.49,1.00,66.49,AZ,2003
DXCCS8,173648,489868,259.00,117.94,1.00,67.13,AZ,2003
DXCCS9,131157,532359,259.00,118.70,1.00,68.08,AZ,2003
E_CCS1,68596,594920,2621.00,2611.80,2601.00,6.08,AZ,2003
E_CCS2,30137,633379,2621.00,2616.85,2601.00,5.73,AZ,2003
E_CCS3,3169,660347,2621.00,2611.78,2601.00,6.44,AZ,2003
E_CCS4,2421,661095,2621.00,2618.49,2601.00,4.21,AZ,2003
E_CCS5,175,663341,2621.00,2616.57,2601.00,4.41,AZ,2003
E_CCS6,15,663501,2621.00,2619.93,2613.00,2.37,AZ,2003
FEMALE,663458,58,1.00,0.59,0.00,0.49,AZ,2003
LOS,663512,4,326.00,4.01,0.00,5.77,AZ,2003
LOS_X,663516,0,456.00,4.01,0.00,5.86,AZ,2003
MDC,663516,0,25.00,9.74,0.00,5.41,AZ,2003
MDC18,663516,0,25.00,9.74,0.00,5.41,AZ,2003
MDNUM1_R,647151,16365,5974.00,2945.03,2.00,1783.01,AZ,2003
MDNUM2_R,370503,293013,7694.00,3169.99,2.00,1963.79,AZ,2003
NDX,663516,0,9.00,5.03,0.00,2.75,AZ,2003
NECODE,663516,0,6.00,0.16,0.00,0.52,AZ,2003
NEOMAT,663516,0,3.00,0.42,0.00,0.72,AZ,2003
NPR,663516,0,6.00,1.31,0.00,1.60,AZ,2003
PAY1,662662,854,6.00,2.36,1.00,1.26,AZ,2003
PL_CBSA,658087,5429,2.00,1.87,0.00,0.40,AZ,2003
PL_MSA1993,658087,5429,1.00,0.89,0.00,0.31,AZ,2003
PL_RUCA,640755,22761,10.50,2.06,1.00,2.18,AZ,2003
PL_RUCA10,640755,22761,10.00,2.04,1.00,2.14,AZ,2003
PL_RUCA4,640755,22761,4.00,1.28,1.00,0.67,AZ,2003
PL_RUCC2003,658088,5428,9.00,1.69,1.00,1.15,AZ,2003
PL_UIC2003,658088,5428,12.00,1.63,1.00,1.23,AZ,2003
PL_UR_CAT4,658088,5428,4.00,1.49,1.00,0.75,AZ,2003
PL_UR_CAT5,658088,5428,5.00,1.49,1.00,0.75,AZ,2003
PNUM_R,600741,62775,467105.00,232587.00,2.00,135151.63,AZ,2003
PRCCS1,387880,275636,231.00,111.95,1.00,57.43,AZ,2003
PRCCS2,220588,442928,231.00,113.48,1.00,62.58,AZ,2003
PRCCS3,124521,538995,231.00,107.78,1.00,66.25,AZ,2003
PRCCS4,69151,594365,231.00,108.29,1.00,69.82,AZ,2003
PRCCS5,43181,620335,231.00,107.29,1.00,73.28,AZ,2003
PRCCS6,27017,636499,231.00,128.28,1.00,78.97,AZ,2003
PRDAY1,387508,276008,168.00,1.13,-4.00,2.86,AZ,2003
PSTCO2,658105,5411,78030.00,4730.87,1003.00,4947.47,AZ,2003
RACE,608183,55333,6.00,1.83,1.00,1.26,AZ,2003
TOTCHG,663222,294,996895.00,19335.13,26.00,30800.82,AZ,2003
AYEAR,663516,0,2003.00,2002.99,2002.00,0.10,AZ,2003
DMONTH,663516,0,12.00,6.60,1.00,3.48,AZ,2003
BMONTH,663472,44,12.00,6.58,1.00,3.44,AZ,2003
BYEAR,663472,44,2003.00,1958.63,1880.00,28.62,AZ,2003
PRMONTH1,387508,276008,12.00,6.58,1.00,3.45,AZ,2003
PRYEAR1,387508,276008,2003.00,2002.99,2002.00,0.09,AZ,2003
