field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,377018,1,120.00,46.14,0.00,28.37,OR,2006
AGEDAY,52683,324336,364.00,9.55,0.00,44.23,OR,2006
AGEMONTH,60807,316212,131.00,8.12,0.00,23.98,OR,2006
AMONTH,377019,0,12.00,6.49,1.00,3.44,OR,2006
ASOURCE,370452,6567,5.00,3.28,1.00,1.94,OR,2006
ATYPE,376338,681,5.00,2.19,1.00,1.05,OR,2006
AWEEKEND,377019,0,1.00,0.19,0.00,0.39,OR,2006
DIED,377019,0,1.00,0.02,0.00,0.14,OR,2006
DISPUB92,377019,0,66.00,2.91,1.00,7.95,OR,2006
DISPUNIFORM,377019,0,99.00,2.12,1.00,3.12,OR,2006
DQTR,377019,0,4.00,2.50,1.00,1.12,OR,2006
DRG,377019,0,579.00,310.83,1.00,152.66,OR,2006
DRG18,377019,0,511.00,276.07,1.00,139.72,OR,2006
DRG24,377019,0,579.00,320.32,1.00,156.70,OR,2006
DRGVER,377019,0,24.00,23.25,23.00,0.43,OR,2006
DXCCS1,377019,0,259.00,154.13,1.00,64.09,OR,2006
DXCCS2,341337,35682,259.00,130.22,1.00,66.55,OR,2006
DXCCS3,298609,78410,259.00,124.99,1.00,66.08,OR,2006
DXCCS4,259741,117278,259.00,122.09,1.00,66.39,OR,2006
DXCCS5,223334,153685,259.00,120.18,1.00,66.79,OR,2006
DXCCS6,189632,187387,259.00,119.77,1.00,67.77,OR,2006
DXCCS7,159720,217299,259.00,119.49,1.00,68.71,OR,2006
DXCCS8,131703,245316,259.00,119.70,1.00,69.24,OR,2006
DXCCS9,106103,270916,259.00,120.73,1.00,70.28,OR,2006
E_CCS1,49202,327817,2621.00,2612.23,2601.00,6.17,OR,2006
E_CCS2,13444,363575,2621.00,2614.98,2601.00,5.75,OR,2006
E_CCS3,5755,371264,2621.00,2609.71,2601.00,6.84,OR,2006
E_CCS4,4704,372315,2621.00,2619.15,2601.00,4.11,OR,2006
E_CCS5,385,376634,2621.00,2617.13,2601.00,4.37,OR,2006
E_CCS6,27,376992,2621.00,2616.33,2601.00,4.50,OR,2006
FEMALE,376889,130,1.00,0.59,0.00,0.49,OR,2006
HCUP_ED,377019,0,4.00,1.55,0.00,1.95,OR,2006
HCUP_OS,377019,0,0.00,0.00,0.00,0.00,OR,2006
HOSPBRTH,377019,0,1.00,0.13,0.00,0.33,OR,2006
LOS,377018,1,280.00,3.95,0.00,5.45,OR,2006
LOS_X,377019,0,368.00,3.95,0.00,5.48,OR,2006
MDC,377019,0,25.00,10.05,1.00,5.41,OR,2006
MDC18,377019,0,25.00,10.05,1.00,5.41,OR,2006
MDC24,377019,0,25.00,10.05,0.00,5.41,OR,2006
MEDINCSTQ,370539,6480,4.00,2.40,1.00,1.12,OR,2006
NDX,377019,0,9.00,5.54,1.00,2.87,OR,2006
NECODE,377019,0,6.00,0.20,0.00,0.61,OR,2006
NEOMAT,377019,0,3.00,0.40,0.00,0.71,OR,2006
NPR,377019,0,6.00,1.46,0.00,1.66,OR,2006
PAY1,377019,0,6.00,2.41,1.00,1.24,OR,2006
PAY2,230662,146357,6.00,3.18,1.00,1.25,OR,2006
PL_CBSA,376482,537,2.00,1.70,0.00,0.56,OR,2006
PL_MSA1993,376482,537,1.00,0.71,0.00,0.46,OR,2006
PL_NHCS2006,376482,537,6.00,3.02,1.00,1.55,OR,2006
PL_RUCA10_2005,370583,6436,10.00,2.48,1.00,2.35,OR,2006
PL_RUCA2005,370583,6436,10.60,2.51,1.00,2.42,OR,2006
PL_RUCA4_2005,370583,6436,4.00,1.43,1.00,0.78,OR,2006
PL_RUCC2003,376482,537,9.00,2.41,1.00,1.75,OR,2006
PL_UIC2003,376482,537,12.00,2.59,1.00,2.34,OR,2006
PL_UR_CAT4,376482,537,4.00,1.85,1.00,0.92,OR,2006
PL_UR_CAT5,376482,537,5.00,1.86,1.00,0.95,OR,2006
PRCCS1,237961,139058,231.00,122.54,1.00,61.99,OR,2006
PRCCS2,137454,239565,231.00,119.71,1.00,66.66,OR,2006
PRCCS3,80295,296724,231.00,117.73,1.00,68.44,OR,2006
PRCCS4,47254,329765,231.00,121.51,1.00,71.28,OR,2006
PRCCS5,29873,347146,231.00,123.14,1.00,75.03,OR,2006
PRCCS6,17583,359436,231.00,122.83,1.00,76.13,OR,2006
PRDAY1,237963,139056,124.00,0.83,-4.00,2.35,OR,2006
PRDAY2,137446,239573,129.00,1.01,-4.00,2.84,OR,2006
PRDAY3,80291,296728,139.00,1.27,-4.00,3.38,OR,2006
PRDAY4,47253,329766,139.00,1.64,-4.00,4.26,OR,2006
PRDAY5,29874,347145,234.00,2.05,-3.00,5.23,OR,2006
PRDAY6,17583,359436,126.00,2.56,-3.00,5.92,OR,2006
PROCTYPE,377019,0,1.00,0.63,0.00,0.48,OR,2006
TOTCHG,361288,15731,998137.00,18034.49,29.00,29156.43,OR,2006
ZIPINC_QRTL,370539,6480,4.00,2.35,1.00,0.89,OR,2006
AYEAR,377019,0,2006.00,2005.99,2005.00,0.10,OR,2006
DMONTH,377019,0,12.00,6.50,1.00,3.44,OR,2006
BMONTH,377019,0,12.00,6.53,1.00,3.42,OR,2006
BYEAR,377019,0,2006.00,1959.42,1886.00,28.48,OR,2006
PRMONTH1,237963,139056,12.00,6.52,1.00,3.43,OR,2006
PRMONTH2,137446,239573,12.00,6.51,1.00,3.43,OR,2006
PRMONTH3,80291,296728,12.00,6.50,1.00,3.44,OR,2006
PRMONTH4,47253,329766,12.00,6.48,1.00,3.44,OR,2006
PRMONTH5,29874,347145,12.00,6.49,1.00,3.45,OR,2006
PRMONTH6,17583,359436,12.00,6.46,1.00,3.44,OR,2006
PRYEAR1,237963,139056,2006.00,2005.99,2005.00,0.09,OR,2006
PRYEAR2,137446,239573,2006.00,2005.99,2005.00,0.10,OR,2006
PRYEAR3,80291,296728,2006.00,2005.99,2005.00,0.11,OR,2006
PRYEAR4,47253,329766,2006.00,2005.99,2005.00,0.12,OR,2006
PRYEAR5,29874,347145,2006.00,2005.98,2005.00,0.13,OR,2006
