field,count,count_null,max,mean,min,stddev_samp,state,year
ADRG,253659,0,956.00,445.54,1.00,217.90,UT,2002
ADRGSEV,253659,0,4.00,1.74,0.00,0.83,UT,2002
AGE,253606,53,104.00,36.13,0.00,28.33,UT,2002
AGEDAY,55514,198145,364.00,11.89,0.00,49.36,UT,2002
AGEMONTH,63415,190244,131.00,7.16,0.00,22.11,UT,2002
AMONTH,253656,3,12.00,6.46,1.00,3.44,UT,2002
ASOURCE,247708,5951,5.00,3.86,1.00,1.76,UT,2002
ATYPE,248467,5192,4.00,2.52,1.00,0.93,UT,2002
AWEEKEND,253644,15,1.00,0.19,0.00,0.39,UT,2002
DIED,253112,547,1.00,0.01,0.00,0.12,UT,2002
DISPUB92,253112,547,72.00,1.96,1.00,4.44,UT,2002
DISPUNIFORM,253112,547,99.00,1.86,1.00,2.64,UT,2002
DQTR,253659,0,4.00,2.49,1.00,1.11,UT,2002
DRG,253659,0,526.00,305.13,1.00,134.23,UT,2002
DRG18,253659,0,511.00,296.86,1.00,132.00,UT,2002
DRGVER,253659,0,20.00,19.25,19.00,0.43,UT,2002
DXCCS1,253599,60,259.00,164.10,1.00,60.73,UT,2002
DXCCS2,225415,28244,2621.00,181.21,1.00,337.89,UT,2002
DXCCS3,176038,77621,2621.00,241.22,1.00,508.75,UT,2002
DXCCS4,141421,112238,2621.00,288.17,1.00,611.88,UT,2002
DXCCS5,114048,139611,2621.00,320.28,1.00,669.94,UT,2002
DXCCS6,91927,161732,2621.00,347.15,1.00,713.19,UT,2002
DXCCS7,74245,179414,2621.00,371.02,1.00,748.07,UT,2002
DXCCS8,60037,193622,2621.00,410.12,1.00,798.20,UT,2002
DXCCS9,48182,205477,2621.00,443.35,1.00,835.70,UT,2002
DXCCS10,10968,242691,2621.00,2612.76,2601.00,5.76,UT,2002
FEMALE,250558,3101,1.00,0.62,0.00,0.49,UT,2002
LOS,253598,61,365.00,3.84,0.00,6.43,UT,2002
LOS_X,253656,3,1844.00,3.95,-2181.00,12.95,UT,2002
MDC,253659,0,25.00,10.99,0.00,5.20,UT,2002
MDC18,253659,0,25.00,11.00,0.00,5.20,UT,2002
NDX,253659,0,10.00,4.72,0.00,2.87,UT,2002
NEOMAT,253659,0,3.00,0.61,0.00,0.80,UT,2002
NPR,253659,0,6.00,1.39,0.00,1.54,UT,2002
PAY1,250618,3041,6.00,2.55,1.00,1.13,UT,2002
PAY2,90990,162669,6.00,2.97,1.00,0.94,UT,2002
PL_CBSA,251063,2596,2.00,1.78,0.00,0.56,UT,2002
PL_MSA1993,251063,2596,1.00,0.74,0.00,0.44,UT,2002
PL_RUCA,252566,1093,10.50,2.35,1.00,2.63,UT,2002
PL_RUCA10,252566,1093,10.00,2.34,1.00,2.61,UT,2002
PL_RUCA4,252566,1093,4.00,1.40,1.00,0.85,UT,2002
PL_RUCC,251063,2596,9.00,1.92,0.00,2.61,UT,2002
PL_UIC,251063,2596,9.00,2.44,1.00,2.29,UT,2002
PRCCS1,160976,92683,231.00,119.60,1.00,51.91,UT,2002
PRCCS2,92561,161098,231.00,122.76,1.00,57.86,UT,2002
PRCCS3,50247,203412,231.00,121.02,1.00,63.64,UT,2002
PRCCS4,25481,228178,231.00,121.48,1.00,72.48,UT,2002
PRCCS5,14713,238946,231.00,122.45,1.00,79.59,UT,2002
PRCCS6,8622,245037,231.00,148.44,1.00,79.49,UT,2002
TOTCHG,248798,4861,992016.00,10115.95,25.00,20554.69,UT,2002
AYEAR,253644,15,2002.00,2001.99,1997.00,0.10,UT,2002
DMONTH,253659,0,12.00,6.48,1.00,3.43,UT,2002
BMONTH,253649,10,12.00,6.52,1.00,3.41,UT,2002
BYEAR,253649,10,2002.00,1965.46,1898.00,28.46,UT,2002
