field,count,count_null,max,mean,min,stddev_samp,state,year
DSNUM,610962,0,7.00,7.00,7.00,0.00,WI,1997
DSTYPE,610962,0,1.00,1.00,1.00,0.00,WI,1997
AGE,610572,390,107.00,46.74,0.00,28.31,WI,1997
AGEDAY,74790,536172,364.00,15.48,0.00,56.24,WI,1997
SEX,610895,67,2.00,1.57,1.00,0.49,WI,1997
RACE,586396,24566,6.00,1.20,1.00,0.67,WI,1997
ADAYWK,610962,0,7.00,3.93,1.00,1.83,WI,1997
AMONTH,610962,0,12.00,6.47,1.00,3.44,WI,1997
DQTR,610962,0,4.00,2.49,1.00,1.12,WI,1997
LOS,610098,864,7540.00,4.86,0.00,18.26,WI,1997
LOS_X,610962,0,7540.00,4.87,0.00,18.33,WI,1997
DISP,610962,0,20.00,2.11,1.00,3.06,WI,1997
DIED,610962,0,1.00,0.02,0.00,0.15,WI,1997
NEOMAT,610962,0,3.00,0.34,0.00,0.67,WI,1997
ATYPE,610962,0,4.00,2.20,1.00,0.92,WI,1997
ASOURCE,606610,4352,5.00,3.50,1.00,1.89,WI,1997
DXSYS,610962,0,1.00,1.00,1.00,0.00,WI,1997
DSNDX,610962,0,10.00,10.00,10.00,0.00,WI,1997
NDX,610962,0,10.00,4.81,1.00,2.74,WI,1997
DXV1,610948,14,1.00,0.00,0.00,0.00,WI,1997
DXV2,548681,62281,1.00,0.00,0.00,0.00,WI,1997
DXV3,450395,160567,0.00,0.00,0.00,0.00,WI,1997
DXV4,366754,244208,0.00,0.00,0.00,0.00,WI,1997
DXV5,295281,315681,0.00,0.00,0.00,0.00,WI,1997
DXV6,230319,380643,0.00,0.00,0.00,0.00,WI,1997
DXV7,178444,432518,0.00,0.00,0.00,0.00,WI,1997
DXV8,137084,473878,0.00,0.00,0.00,0.00,WI,1997
DXV9,99625,511337,1.00,0.00,0.00,0.00,WI,1997
DXV10,18760,592202,1.00,0.00,0.00,0.04,WI,1997
DCCHPR1,610961,1,259.00,147.20,1.00,65.52,WI,1997
DCCHPR2,548791,62171,260.00,125.75,1.00,68.35,WI,1997
DCCHPR3,450506,160456,260.00,123.40,1.00,67.11,WI,1997
DCCHPR4,366847,244115,260.00,121.19,1.00,66.84,WI,1997
DCCHPR5,295331,315631,260.00,120.67,1.00,67.49,WI,1997
DCCHPR6,230364,380598,260.00,121.85,1.00,69.05,WI,1997
DCCHPR7,178468,432494,260.00,122.60,1.00,69.77,WI,1997
DCCHPR8,137091,473871,260.00,123.65,1.00,70.90,WI,1997
DCCHPR9,99633,511329,260.00,130.06,1.00,75.44,WI,1997
DCCHPR10,18725,592237,260.00,259.96,60.00,2.41,WI,1997
PRSYS,610962,0,1.00,1.00,1.00,0.00,WI,1997
DSNPR,610962,0,6.00,6.00,6.00,0.00,WI,1997
NPR,610962,0,6.00,1.29,0.00,1.53,WI,1997
PRV1,370016,240946,1.00,0.00,0.00,0.03,WI,1997
PRV2,197519,413443,1.00,0.00,0.00,0.07,WI,1997
PRV3,111390,499572,1.00,0.01,0.00,0.08,WI,1997
PRV4,57846,553116,1.00,0.01,0.00,0.08,WI,1997
PRV5,33685,577277,1.00,0.00,0.00,0.06,WI,1997
PRV6,19899,591063,1.00,0.00,0.00,0.05,WI,1997
PCCHPR1,369770,241192,231.00,121.17,1.00,60.09,WI,1997
PCCHPR2,196650,414312,231.00,117.92,1.00,61.75,WI,1997
PCCHPR3,110687,500275,231.00,112.63,1.00,65.22,WI,1997
PCCHPR4,57493,553469,231.00,110.65,1.00,68.16,WI,1997
PCCHPR5,33572,577390,231.00,111.86,1.00,71.77,WI,1997
PCCHPR6,19855,591107,231.00,118.84,1.00,74.77,WI,1997
PRDAY1,315980,294982,272.00,1.19,-4.00,3.16,WI,1997
DRG,610962,0,503.00,266.62,1.00,139.83,WI,1997
MDC,610962,0,25.00,10.16,0.00,5.80,WI,1997
DRGVER,610962,0,15.00,14.25,14.00,0.43,WI,1997
DRG10,610962,0,492.00,263.57,1.00,137.79,WI,1997
MDC10,610962,0,25.00,10.15,0.00,5.80,WI,1997
PAY1,609920,1042,6.00,2.33,1.00,1.27,WI,1997
PAY1_N,609920,1042,12.00,3.27,1.00,2.44,WI,1997
PAY2,325733,285229,6.00,3.13,1.00,0.88,WI,1997
PAY2_N,325733,285229,12.00,4.34,1.00,1.90,WI,1997
