field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,455339,24,115.00,42.47,0.00,28.25,CO,2001
AGEDAY,72552,382811,364.00,13.13,0.00,51.86,CO,2001
AGEMONTH,84328,371035,131.00,8.15,0.00,23.62,CO,2001
AMONTH,455363,0,12.00,6.43,1.00,3.45,CO,2001
ASOURCE,416186,39177,5.00,3.41,1.00,1.91,CO,2001
ATYPE,454410,953,4.00,2.28,1.00,1.05,CO,2001
AWEEKEND,455355,8,1.00,0.20,0.00,0.40,CO,2001
BWT,64913,390450,6400.00,3202.82,235.00,574.17,CO,2001
DIED,455358,5,1.00,0.02,0.00,0.12,CO,2001
DISPUB92,455358,5,72.00,2.01,1.00,3.24,CO,2001
DISPUNIFORM,455358,5,20.00,2.08,1.00,2.83,CO,2001
DQTR,455363,0,4.00,2.48,1.00,1.12,CO,2001
DRG,455363,0,523.00,283.36,1.00,140.40,CO,2001
DRG18,455363,0,511.00,281.23,1.00,139.49,CO,2001
DRGVER,455363,0,19.00,18.25,18.00,0.43,CO,2001
DXCCS1,455357,6,259.00,158.06,1.00,63.59,CO,2001
DXCCS2,399055,56308,2621.00,201.62,1.00,400.05,CO,2001
DXCCS3,334063,121300,2621.00,264.53,1.00,567.44,CO,2001
DXCCS4,277028,178335,2621.00,276.00,1.00,598.35,CO,2001
DXCCS5,226805,228558,2621.00,278.40,1.00,608.23,CO,2001
DXCCS6,183902,271461,2621.00,281.75,1.00,617.43,CO,2001
DXCCS7,147629,307734,2621.00,284.18,1.00,623.10,CO,2001
DXCCS8,117458,337905,2621.00,288.07,1.00,631.07,CO,2001
DXCCS9,92972,362391,2621.00,297.12,1.00,645.09,CO,2001
DXCCS10,72940,382423,2621.00,295.26,1.00,642.49,CO,2001
DXCCS11,55766,399597,2621.00,292.76,1.00,636.71,CO,2001
DXCCS12,43016,412347,2621.00,301.45,1.00,651.02,CO,2001
DXCCS13,33360,422003,2621.00,312.66,1.00,668.29,CO,2001
DXCCS14,25870,429493,2621.00,330.66,1.00,694.51,CO,2001
DXCCS15,19590,435773,2621.00,347.94,1.00,720.94,CO,2001
FEMALE,455319,44,1.00,0.60,0.00,0.49,CO,2001
LOS,455353,10,294.00,3.93,0.00,6.21,CO,2001
LOS_X,455363,0,730.00,3.93,-28.00,6.33,CO,2001
MDC,455363,0,25.00,10.42,1.00,5.63,CO,2001
MDC18,455363,0,25.00,10.42,1.00,5.63,CO,2001
NDX,455363,0,15.00,5.46,1.00,3.83,CO,2001
NEOMAT,455363,0,3.00,0.45,0.00,0.73,CO,2001
NPR,455363,0,15.00,1.40,0.00,1.87,CO,2001
PAY1,455328,35,6.00,2.62,1.00,1.12,CO,2001
PRCCS1,276049,179314,231.00,118.70,1.00,56.54,CO,2001
PRCCS2,151250,304113,231.00,120.19,1.00,62.11,CO,2001
PRCCS3,83627,371736,231.00,115.94,1.00,67.31,CO,2001
PRCCS4,45696,409667,231.00,116.85,1.00,72.20,CO,2001
PRCCS5,28090,427273,231.00,119.15,1.00,77.05,CO,2001
PRCCS6,17395,437968,231.00,134.45,1.00,80.35,CO,2001
PRCCS7,10672,444691,231.00,137.22,1.00,79.29,CO,2001
PRCCS8,7163,448200,231.00,138.76,1.00,79.59,CO,2001
PRCCS9,5010,450353,231.00,141.91,1.00,79.77,CO,2001
PRCCS10,3577,451786,231.00,138.99,1.00,80.70,CO,2001
PRCCS11,2409,452954,231.00,140.11,1.00,80.64,CO,2001
PRCCS12,1812,453551,231.00,143.27,1.00,79.79,CO,2001
PRCCS13,1370,453993,231.00,144.24,1.00,79.31,CO,2001
PRCCS14,1045,454318,231.00,145.80,1.00,80.04,CO,2001
PRCCS15,783,454580,231.00,145.33,1.00,78.72,CO,2001
PRDAY1,276042,179321,160.00,0.99,-4.00,3.11,CO,2001
PSTCO,241918,213445,8125.00,8052.28,8001.00,34.50,CO,2001
RACE,342536,112827,6.00,1.62,1.00,1.24,CO,2001
TOTCHG,448239,7124,993662.00,14784.78,55.00,27030.72,CO,2001
AYEAR,455355,8,2001.00,2000.99,1999.00,0.10,CO,2001
DMONTH,455363,0,12.00,6.45,1.00,3.45,CO,2001
PRMONTH1,276044,179319,12.00,6.49,1.00,3.44,CO,2001
PRYEAR1,276044,179319,2001.00,2000.99,1999.00,0.09,CO,2001
