field,count,count_null,max,mean,min,stddev_samp,state,year
DXCCS23,34224,2516836,259.00,122.59,1.00,75.67,FL,2006
DXCCS24,26969,2524091,259.00,122.47,1.00,76.12,FL,2006
DXCCS25,20091,2530969,259.00,122.45,1.00,76.79,FL,2006
DXCCS26,12437,2538623,259.00,122.15,1.00,76.48,FL,2006
DXCCS27,10118,2540942,259.00,121.89,1.00,76.11,FL,2006
DXCCS28,8123,2542937,259.00,121.48,1.00,76.67,FL,2006
DXCCS29,6372,2544688,259.00,121.32,1.00,77.83,FL,2006
DXCCS30,4700,2546360,259.00,121.35,1.00,78.31,FL,2006
DXCCS31,3194,2547866,259.00,121.95,2.00,77.19,FL,2006
E_CCS1,390779,2160281,2621.00,2612.50,2601.00,6.02,FL,2006
E_CCS2,126126,2424934,2621.00,2618.94,2601.00,4.11,FL,2006
E_CCS3,15877,2535183,2621.00,2616.71,2601.00,4.43,FL,2006
FEMALE,2551008,52,1.00,0.57,0.00,0.50,FL,2006
HCUP_ED,2551060,0,4.00,1.09,0.00,1.01,FL,2006
HCUP_OS,2551060,0,0.00,0.00,0.00,0.00,FL,2006
Homeless,2551060,0,1.00,0.00,0.00,0.05,FL,2006
HOSPBRTH,2551060,0,1.00,0.09,0.00,0.29,FL,2006
LOS,2550934,126,365.00,4.80,0.00,7.33,FL,2006
LOS_X,2551060,0,1846.00,4.83,0.00,8.63,FL,2006
MDC,2551060,0,25.00,9.35,0.00,5.52,FL,2006
MDC18,2551060,0,25.00,9.35,1.00,5.52,FL,2006
MDC24,2551060,0,25.00,9.35,0.00,5.52,FL,2006
MDNUM1_R,2551060,0,74656.00,54149.97,153.00,10135.77,FL,2006
MDNUM2_R,1475809,1075251,76795.00,53355.45,153.00,9834.72,FL,2006
MDNUM3_R,239531,2311529,77342.00,55285.91,395.00,10231.56,FL,2006
MEDINCSTQ,2483744,67316,4.00,2.35,1.00,1.10,FL,2006
NDX,2551060,0,31.00,7.20,1.00,5.02,FL,2006
NECODE,2551060,0,3.00,0.21,0.00,0.54,FL,2006
NEOMAT,2551060,0,3.00,0.29,0.00,0.63,FL,2006
NPR,2551060,0,31.00,1.52,0.00,2.20,FL,2006
PAY1,2551060,0,6.00,2.20,1.00,1.29,FL,2006
PRCCS21,1063,2549997,231.00,128.78,1.00,79.46,FL,2006
PRCCS22,861,2550199,231.00,130.71,4.00,80.22,FL,2006
PRCCS23,585,2550475,231.00,130.05,4.00,80.37,FL,2006
PRCCS24,480,2550580,231.00,123.77,4.00,79.51,FL,2006
PRCCS25,403,2550657,231.00,126.74,4.00,78.99,FL,2006
PRCCS26,228,2550832,231.00,105.06,4.00,77.27,FL,2006
PRCCS27,197,2550863,231.00,101.44,4.00,75.29,FL,2006
PRCCS28,162,2550898,231.00,107.56,3.00,76.38,FL,2006
PRCCS29,137,2550923,231.00,108.04,3.00,80.01,FL,2006
PRCCS30,112,2550948,231.00,113.41,4.00,78.84,FL,2006
PRCCS31,67,2550993,231.00,104.16,4.00,76.18,FL,2006
PRDAY1,1475788,1075272,365.00,1.53,-4.00,3.61,FL,2006
PRDAY2,888755,1662305,365.00,1.85,-4.00,4.37,FL,2006
PRDAY3,525178,2025882,323.00,2.27,-4.00,5.28,FL,2006
PRDAY4,315568,2235492,348.00,2.82,-4.00,6.59,FL,2006
PRDAY5,205166,2345894,295.00,3.38,-4.00,7.72,FL,2006
PRDAY6,144664,2406396,335.00,3.86,-4.00,8.96,FL,2006
PRDAY7,108179,2442881,359.00,4.24,-4.00,9.95,FL,2006
PRDAY8,73122,2477938,352.00,5.11,-4.00,11.26,FL,2006
PRDAY9,45868,2505192,365.00,6.81,-3.00,14.00,FL,2006
PRDAY10,30275,2520785,347.00,8.43,-3.00,15.46,FL,2006
PRDAY11,20985,2530075,348.00,10.07,-3.00,18.16,FL,2006
PRDAY12,15583,2535477,318.00,11.24,-3.00,19.10,FL,2006
PRDAY13,10072,2540988,301.00,12.75,-3.00,20.92,FL,2006
PRDAY14,7470,2543590,327.00,14.48,-2.00,23.14,FL,2006
PRDAY15,5490,2545570,338.00,15.96,-2.00,25.24,FL,2006
PRDAY16,3658,2547402,338.00,17.73,-1.00,26.19,FL,2006
PRDAY17,2843,2548217,321.00,19.93,-3.00,30.01,FL,2006
PRDAY18,2234,2548826,311.00,21.86,-1.00,31.44,FL,2006
PRDAY19,1771,2549289,321.00,24.09,-2.00,34.44,FL,2006
PRDAY20,1357,2549703,319.00,26.63,-1.00,37.52,FL,2006
PRDAY21,1060,2550000,321.00,28.23,-1.00,39.91,FL,2006
PRDAY22,857,2550203,317.00,29.46,-1.00,40.71,FL,2006
PRDAY23,582,2550478,317.00,33.54,-1.00,45.07,FL,2006
PRDAY24,478,2550582,334.00,37.68,-2.00,49.88,FL,2006
PRDAY25,403,2550657,321.00,36.83,-1.00,46.81,FL,2006
PRDAY26,226,2550834,355.00,45.63,0.00,51.19,FL,2006
PRDAY27,195,2550865,295.00,44.91,0.00,49.82,FL,2006
PRDAY28,160,2550900,363.00,49.49,-1.00,54.82,FL,2006
PRDAY29,135,2550925,320.00,49.14,-1.00,52.98,FL,2006
PRDAY30,111,2550949,360.00,53.20,-1.00,64.48,FL,2006
PRDAY31,66,2550994,360.00,54.74,1.00,61.67,FL,2006
PROCTYPE,2551060,0,1.00,0.58,0.00,0.49,FL,2006
PSTCO2,2530211,20849,78030.00,12464.75,1001.00,3507.37,FL,2006
RACE,2530148,20912,6.00,1.57,1.00,0.99,FL,2006
TOTCHG,2550302,758,999534.00,29344.20,41.00,44814.99,FL,2006
ZIPINC_QRTL,2483744,67316,4.00,2.13,1.00,1.01,FL,2006
PRYEAR1,1475788,1075272,2006.00,2005.99,2001.00,0.10,FL,2006
PRYEAR2,888755,1662305,2006.00,2005.99,2001.00,0.10,FL,2006
PRYEAR3,525178,2025882,2006.00,2005.99,2001.00,0.11,FL,2006
PRYEAR4,315568,2235492,2006.00,2005.98,2001.00,0.13,FL,2006
PRYEAR5,205166,2345894,2006.00,2005.98,2003.00,0.14,FL,2006
PRYEAR6,144664,2406396,2006.00,2005.98,2002.00,0.15,FL,2006
PRYEAR7,108179,2442881,2006.00,2005.98,2003.00,0.15,FL,2006
PRYEAR8,73122,2477938,2006.00,2005.97,2003.00,0.17,FL,2006
PRYEAR9,45868,2505192,2006.00,2005.96,2003.00,0.19,FL,2006
PRYEAR10,30275,2520785,2006.00,2005.96,2003.00,0.20,FL,2006
PRYEAR11,20985,2530075,2006.00,2005.95,2003.00,0.21,FL,2006
PRYEAR12,15583,2535477,2006.00,2005.95,2003.00,0.23,FL,2006
PRYEAR13,10072,2540988,2006.00,2005.95,2004.00,0.22,FL,2006
PRYEAR14,7470,2543590,2006.00,2005.94,2004.00,0.23,FL,2006
PRYEAR15,5490,2545570,2006.00,2005.93,2004.00,0.25,FL,2006
PRYEAR16,3658,2547402,2006.00,2005.92,2004.00,0.27,FL,2006
PRYEAR17,2843,2548217,2006.00,2005.92,2004.00,0.27,FL,2006
