field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,736861,47,111.00,48.58,0.00,26.50,MD,2005
AGEDAY,75776,661132,364.00,11.19,0.00,48.12,MD,2005
AGEMONTH,89780,647128,131.00,9.28,0.00,25.24,MD,2005
ASOURCE,716152,20756,5.00,3.81,1.00,1.72,MD,2005
ATYPE,736110,798,6.00,1.85,1.00,1.22,MD,2005
AWEEKEND,736908,0,1.00,0.20,0.00,0.40,MD,2005
BWT,70567,666341,9003.00,3249.40,229.00,637.67,MD,2005
DaysBurnUnit,358,736550,265.00,7.89,1.00,18.20,MD,2005
DaysCCU,19387,717521,86.00,3.32,0.00,4.48,MD,2005
DaysICU,39763,697145,155.00,3.61,0.00,5.88,MD,2005
DaysNICU,5414,731494,242.00,14.28,0.00,20.79,MD,2005
DaysPICU,2678,734230,197.00,3.99,1.00,9.86,MD,2005
DaysShockUnit,6309,730599,113.00,3.01,0.00,6.01,MD,2005
DIED,733306,3602,1.00,0.02,0.00,0.14,MD,2005
DISPUNIFORM,733306,3602,20.00,2.25,1.00,3.06,MD,2005
DQTR,736908,0,4.00,2.49,1.00,1.12,MD,2005
DRG,736908,0,559.00,282.37,1.00,149.47,MD,2005
DRG18,736908,0,511.00,262.76,1.00,142.39,MD,2005
DRGVER,736908,0,23.00,22.25,22.00,0.43,MD,2005
DXCCS1,736728,180,259.00,144.12,1.00,66.29,MD,2005
DXCCS2,712645,24263,259.00,121.47,1.00,66.86,MD,2005
DXCCS3,659728,77180,259.00,118.77,1.00,66.66,MD,2005
DXCCS4,599476,137432,259.00,119.63,1.00,67.22,MD,2005
DXCCS5,538479,198429,259.00,120.75,1.00,68.01,MD,2005
DXCCS6,478533,258375,259.00,122.11,1.00,69.03,MD,2005
DXCCS7,421067,315841,259.00,123.29,1.00,70.08,MD,2005
DXCCS8,367321,369587,259.00,124.52,1.00,71.29,MD,2005
DXCCS9,317860,419048,259.00,125.62,1.00,72.46,MD,2005
DXCCS10,271792,465116,259.00,126.98,1.00,73.52,MD,2005
DXCCS11,232122,504786,259.00,128.40,1.00,74.42,MD,2005
DXCCS12,196848,540060,259.00,129.27,1.00,75.09,MD,2005
DXCCS13,164914,571994,259.00,130.41,1.00,76.01,MD,2005
DXCCS14,135926,600982,259.00,131.32,1.00,76.65,MD,2005
DXCCS15,105597,631311,259.00,131.98,1.00,77.11,MD,2005
E_CCS1,132656,604252,2621.00,2613.09,2601.00,5.61,MD,2005
E_CCS2,39388,697520,2621.00,2617.02,2601.00,4.90,MD,2005
E_CCS3,8626,728282,2621.00,2618.89,2601.00,3.73,MD,2005
E_CCS4,1137,735771,2621.00,2617.97,2601.00,4.09,MD,2005
E_CCS5,197,736711,2621.00,2619.17,2603.00,3.37,MD,2005
E_CCS6,21,736887,2621.00,2618.81,2603.00,4.18,MD,2005
FEMALE,736846,62,1.00,0.58,0.00,0.49,MD,2005
